date,open,high,low,close,volume,log_close,log_return,pct_return,cum_log_return,cum_pct_return,slope,slope_zscore,slope_fast,slope_slow,slope_fast_zscore,slope_slow_zscore,sma_fast,sma_slow,volatility,vol_percentile,vol_trend,rsi,returns_zscore,ulcer_index,trend_signal,regime_signal,vol_adj_signal,vol_mom_signal,mr_signal,ulcer_signal,raw_signal,constrained_signal,signal,exposure,asset_return,position_change,transaction_costs,gross_return,strategy_return,equity,bh_equity,peak,drawdown,bh_drawdown
2016-05-10,120.74,121.38,120.08,120.98,9844900,4.795625242678768,0.0027314506077269485,0.0027351844177372353,-0.13162844247843708,-0.12333333333333507,0.1218509335179985,0.2201727155581068,0.5788995244321304,0.19034531819742417,0.8502833344391852,2.522727929365797,120.18000000000002,113.8516,0.1683254402270111,76.49402390438247,0.009546753496468436,49.229437531259656,0.22121028399680107,0.012503543344002702,1.0097782417888899,1.0097782417888899,1.4997409776964818,1.4997409776964818,1.4997409776964818,1.4997409776964818,1.4997409776964818,1.4997409776964818,1.4999137467172425,1.4999569389724328,0.0027314506077269485,1.0765256891920316e-05,1.0765256891920316e-08,0.004097058292520505,0.004097047527263613,92184.5105272425,80621.11171235073,119203.63202708717,-0.22666357593621805,-0.3926147621088144
2016-05-11,121.85,122.16,121.38,122.12,7590000,4.805004167866677,0.009378925187909282,0.009423045131426777,-0.1222495172905278,-0.11507246376811764,0.11766160422938234,0.20776308778439842,0.5907056207065858,0.19491015151353414,0.8633605941035247,2.5255964559143536,120.34750000000001,114.04530000000001,0.1658388317623145,74.10358565737052,0.004981293713903431,56.906109992762026,0.7646465838463073,0.012857203789941464,1.004940077798245,1.004940077798245,1.5149348112759606,1.5149348112759606,1.5149348112759606,1.5149348112759606,1.5149348112759606,1.5,1.4999309973737942,1.4999137467172425,0.009378925187909282,4.319225519022751e-05,4.319225519022751e-08,0.014067578818777729,0.014067535626522538,93481.31941329803,81377.25108766694,119203.63202708717,-0.21578463823941324,-0.3869181414023925
2016-05-12,122.02,122.39,121.0,121.16,7447100,4.797111986159036,-0.007892181707640944,-0.007861120209629924,-0.13014169899816874,-0.12202898550724806,0.11197675871051918,0.19157854257753282,0.5075548980163357,0.19847171960593088,0.7254008175808971,2.5184177158239605,120.55,114.2519,0.15952305081698465,66.93227091633466,0.0020902805269390297,49.61654160942014,-0.9545318365639205,0.013082419438255794,1.0029082330773105,1.0029082330773105,1.5717293320813257,1.5717293320813257,1.5717293320813257,1.5717293320813257,1.5717293320813257,1.5,1.4999447978990355,1.4999309973737942,-0.007892181707640944,1.7250656551670573e-05,1.7250656551670573e-08,-0.011837727980197095,-0.011837745230853647,92374.71137023935,80735.00703521476,119203.63202708717,-0.22506797989805677,-0.391756694832103
2016-05-13,121.09,121.86,120.66,121.71,7672800,4.8016411658864655,0.004529179727429167,0.004539451964344687,-0.12561251927073958,-0.11804347826087125,0.1177593284858847,0.20608003400191302,0.45525159437113377,0.20154444408034494,0.638235305274841,2.5066619190921826,120.73949999999999,114.4486,0.1587211927860064,64.14342629482071,0.002484503494169214,53.54994519434378,0.2947886384966951,0.013126903360317509,1.0005461825556845,1.0005461825556845,1.5759492547322853,1.5759492547322853,1.5759492547322853,1.5759492547322853,1.5759492547322853,1.5,1.4999558383192284,1.4999447978990355,0.004529179727429167,1.3800525241247641e-05,1.380052524124764e-08,0.00679351957090715,0.0067935057703819085,93002.25950497043,81100.6703923725,119203.63202708717,-0.21980347474784062,-0.3890018515849921
2016-05-16,122.93,122.97,121.38,121.8,7103000,4.802380355275797,0.0007391893893311519,0.0007394626571357588,-0.12487332988140842,-0.11739130434782785,0.12087675506071438,0.21362371826119742,0.38754313318120703,0.20461405999572096,0.5278965687616923,2.4951034506665986,120.94250000000002,114.63510000000001,0.15833570296435784,64.14342629482071,0.002289230033506881,54.22469000747241,-0.0958359626161555,0.013389255334531591,1.0013632973280417,1.0013632973280417,1.5810762796199904,1.5810762796199904,1.5810762796199904,1.5810762796199904,1.5810762796199904,1.5,1.4999646706553829,1.4999558383192284,0.0007391893893311519,1.1040420192953704e-05,1.1040420192953705e-08,0.0011087514401508865,0.0011087403997306936,93105.37486734983,81160.61914739419,119203.63202708717,-0.21893843934056398,-0.3885502082367827
2016-05-17,121.58,122.52,121.48,122.22,8619800,4.80582269946677,0.0034423441909732233,0.0034482758620690834,-0.1214309856904352,-0.11434782608695815,0.11726209220563354,0.20342126484346962,0.3810809477522001,0.20820042260203933,0.5164409558773592,2.4884683073033482,121.07449999999999,114.8312,0.14994677191909564,57.37051792828686,-0.0018979538455826275,57.545412881704934,0.2488407148961734,0.0135561685226933,0.9915577312136524,0.9915577312136524,1.6531828559259982,1.6531828559259982,1.6531828559259982,1.6531828559259982,1.6531828559259982,1.5,1.4999717365243064,1.4999646706553829,0.0034423441909732233,8.832336154451781e-06,8.832336154451782e-09,0.005163394670695621,0.005163385838359467,93586.11384141506,81440.001933252,119203.63202708717,-0.21490551713936804,-0.3864453875980349
2016-05-18,121.22,121.92,119.88,120.1,13381700,4.788324729085938,-0.01749797038083223,-0.01734576992308956,-0.13892895607126743,-0.12971014492753785,0.11197623803809287,0.18892191868758687,0.28300165529936655,0.21096571360735095,0.3593336446623266,2.474428268618094,121.131,115.0091,0.16264992741839673,70.5179282868526,-0.0010747657794295859,40.453465446874475,-1.7539205144954462,0.015577098385160616,0.9742699561955589,0.9742699561955589,1.4974952203488727,1.4974952203488727,1.4974952203488727,1.4974952203488727,1.4974952203488727,1.4974952203488727,1.4994764332892196,1.4999717365243064,-0.01749797038083223,7.065868923517016e-06,7.065868923517016e-09,-0.026246461017787798,-0.026246468083656722,91129.80889140289,80014.96719160904,119203.63202708717,-0.23551147442642464,-0.3971813480328674
2016-05-19,119.0,119.97,118.92,119.87,14339600,4.786407822219008,-0.0019169068669295797,-0.0019150707743545992,-0.140845862938197,-0.13137681159420445,0.1069772738795131,0.17534001425336396,0.18946101084964567,0.21375448552100884,0.2101212800862174,2.460898868675533,121.15350000000001,115.17730000000002,0.16237172220242904,70.1195219123506,-0.00316840091904783,39.00328544623669,-0.20579481217585135,0.017206298511849225,0.9536541964369607,0.9536541964369607,1.4683193953265934,1.4683193953265934,1.4683193953265934,1.4683193953265934,1.4683193953265934,1.4683193953265934,1.4932450256966945,1.4994764332892196,-0.0019169068669295797,0.0004953032350867304,4.953032350867304e-07,-0.002874356671771179,-0.0028748519750062657,90867.82418032951,79861.5859515423,119203.63202708717,-0.2377092657740394,-0.3983368952463364
2016-05-20,120.19,120.32,119.31,119.71,10379300,4.785072151263279,-0.0013356709557292845,-0.001334779344289716,-0.1421815338939263,-0.1325362318840596,0.10228430884783019,0.16272398846396693,0.038379328437150986,0.21618301696819514,-0.03035382424319597,2.444501689110538,121.24449999999999,115.3517,0.15503760946827871,61.354581673306775,-0.007695081949095562,37.912379579193285,-0.2151937379867774,0.018760439171906843,0.9412223099862987,0.9412223099862987,1.5177322338225672,1.5177322338225672,1.5177322338225672,1.5177322338225672,1.5177322338225672,1.5,1.4945960205573556,1.4932450256966945,-0.0013356709557292845,0.006231407592525162,6.231407592525163e-06,-0.001994484010610304,-0.002000715418202829,90686.02352347338,79754.91715070835,119203.63202708717,-0.23923439259915838,-0.3991405191804898
2016-05-23,118.86,119.6,118.75,119.37,8628200,4.782227913106947,-0.0028442381563316133,-0.0028401971430956907,-0.1450257720502579,-0.13500000000000156,0.09326134016603856,0.13877852237574645,-0.11728820258761084,0.21809093931064438,-0.2775968979669829,2.424020855121387,121.3015,115.5234,0.1553336259636723,62.15139442231076,-0.006641036823185868,35.47923888875137,-0.33970426796679615,0.020446627395553817,0.9244970711445796,0.9244970711445796,1.487921666693118,1.487921666693118,1.487921666693118,1.487921666693118,1.487921666693118,1.487921666693118,1.493261149784508,1.4945960205573556,-0.0028442381563316133,0.0013509948606611477,1.3509948606611478e-06,-0.004250987029970619,-0.004252338024831281,90300.39589732377,79528.07517219323,119203.63202708717,-0.24246942511949285,-0.40084950664243035
