Date,Open,High,Low,Close,Change,%Change,Volume
11/21/12,167.19,167.82,166.97,167.56,0.17,0.10%,3811100
11/23/12,167.97,170.01,167.8,169.61,2.05,1.22%,6110000
11/26/12,169.56,169.73,169.25,169.43,-0.18,-0.11%,5377700
11/27/12,169.14,169.4,168.62,168.71,-0.72,-0.42%,7320500
11/28/12,165.43,166.84,165.39,166.55,-2.16,-1.28%,12881700
11/29/12,167.14,167.5,166.85,167.18,0.63,0.38%,7447100
11/30/12,166.94,167.22,165.53,166.05,-1.13,-0.68%,8414200
12/3/12,166.11,166.92,166.04,166.13,0.08,0.05%,6364500
12/4/12,164.06,164.83,163.87,164.42,-1.71,-1.03%,10212300
12/5/12,164.22,164.5,163.2,164.12,-0.3,-0.18%,10649100
12/6/12,163.72,165,163.53,164.5,0.38,0.23%,7301500
12/7/12,164.88,165.22,164.6,165.17,0.67,0.41%,7290600
12/10/12,166.11,166.16,165.72,165.8,0.63,0.38%,4649100
12/11/12,165.45,165.66,165.12,165.65,-0.15,-0.09%,4725700
12/12/12,166.2,166.94,165.36,165.77,0.12,0.07%,14172300
12/13/12,163.86,164.9,163.78,164.37,-1.4,-0.84%,9333200
12/14/12,164.17,164.48,164.02,164.13,-0.24,-0.15%,5352100
12/17/12,164.16,164.62,164.13,164.44,0.31,0.19%,8177300
12/18/12,164.35,164.43,160.9,162.08,-2.36,-1.44%,24000500
12/19/12,161.31,162.22,161.11,161.69,-0.39,-0.24%,12995500
12/20/12,159.87,160.12,158.39,159.73,-1.96,-1.21%,25148700
12/21/12,159.82,160.76,159.78,160.33,0.6,0.38%,13445800
12/24/12,160.88,160.96,160.47,160.62,0.29,0.18%,3699700
12/26/12,161.36,161.48,160.64,160.78,0.16,0.10%,4967600
12/27/12,160.23,161.31,160.05,161.16,0.38,0.24%,8938600
12/28/12,160.94,160.97,160.15,160.54,-0.62,-0.38%,6854100
12/31/12,160.9,162.75,160.77,162.02,1.48,0.92%,11789600
1/2/13,163.49,164.14,163.14,163.17,1.15,0.71%,10436800
1/3/13,162.48,162.88,160.83,161.2,-1.97,-1.21%,16117400
1/4/13,159.52,160.64,158.89,160.44,-0.76,-0.47%,19179800
1/7/13,159.34,159.96,159.15,159.43,-1.01,-0.63%,9362400
1/8/13,160.46,160.99,160.01,160.56,1.13,0.71%,7696200
1/9/13,160.77,160.83,159.91,160.49,-0.07,-0.04%,8337000
1/10/13,161.61,162.56,161.61,161.98,1.49,0.93%,11432500
